City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score,lat,lon
BAGICHA (NP),6593.857674,4654.77,4017.29,3382.059701,2904.415663,1092.744027,1190.857143,22.0313,82.278
BARSUR (NP),6593.857674,4683.57,4011.02,3382.059701,2904.415663,1092.744027,1190.857143,19.74,81.5775
JARHI (NP),6593.857674,4622.12,4008.95,3382.059701,2904.415663,1092.744027,1190.857143,20.6421,82.7665
KORBA,6593.857674,5691.31,4004.25,3111,2989,1313,1190.857143,22.4085,82.6678
POMBHURNA,6593.857674,2830.56,4000.94,3382.059701,2904.415663,1092.744027,1190.857143,20.3919,79.6328
BADE BACHELI (M),6593.857674,5203.32,3997.8,3382.059701,2904.415663,1092.744027,1190.857143,20.1228,81.5072
RAU,6593.857674,4395.52,3996.48,3315,2904.415663,1092.744027,1190.857143,22.7058,75.8282
CHIKHALAKASA (NP),6593.857674,4825.21,3990.33,3382.059701,2904.415663,1092.744027,1190.857143,20.1947,79.6339
URAN ISLAMPUR,6593.857674,4563.31,3985.64,3631,2931,1092.744027,1190.857143,17.8865,73.9778
DANTEWADA (NP),6593.857674,4179,3983.24,3382.059701,2904.415663,1092.744027,1190.857143,19.0511,81.4664
ALIBAG,6593.857674,2874.93,3979.27,3382.059701,2904.415663,1092.744027,1190.857143,18.6402,72.8704
KIRANDUL (M),6593.857674,4479.25,3978.3,3382.059701,2904.415663,1092.744027,1190.857143,19.2163,81.2672
JHABUA,6593.857674,4037.77,3971.56,3382.059701,2904.415663,1092.744027,1190.857143,23.2418,74.3304
KHULDABAD,6593.857674,3628.79,3967.99,3382.059701,2904.415663,1092.744027,1190.857143,20.0574,75.6711
JAMUL (M),6593.857674,4289.55,3965.37,3382.059701,2904.415663,1092.744027,1190.857143,20.6501,78.8388
HINGANA,6593.857674,4696.03,3965.26,3222,2904.415663,1092.744027,1190.857143,20.9682,78.5074
TARSADI,6593.857674,4338.29,3963.36,3382.059701,2904.415663,1092.744027,1190.857143,21.8238,73.9519
BHUSAWAL,6593.857674,4144.75,3962.2,3382.059701,2722,345,1190.857143,20.5241,75.7915
SHIVPUR CHARCHA (M),6593.857674,4484.27,3956.28,3382.059701,2904.415663,1092.744027,1190.857143,22.0561,78.4581
UMRED,6593.857674,5131.29,3953.51,3272,2904.415663,1092.744027,1190.857143,20.8615,79.2054
KULGAON-BADLAPUR,6593.857674,5312.57,3891.98,3244,2904.415663,1092.744027,1190.857143,19.2001,73.33
TUMKUR,6593.857674,2726.88,3863.66,3382.059701,2904.415663,1092.744027,1190.857143,13.3405,77.1019
Saharanpur,6593.857674,3728.456823,3855.29,2908,2904.415663,894,1190.857143,29.963,77.5552
